Language	TrainingSents	HeldoutSents
Arabic	21864	2895
Catalan	13123	1709
Czech	102993	11311
Dutch	18310	1518
Finnish	27198	3239
French	32347	3232
German	13814	799
Hindi	13304	1659
Norwegian	29870	4639
Spanish	28492	3054
Basque	5396	1798
Bulgarian	8907	1115
Croatian	7689	600
Estonian	6959	855
Hebrew	5241	484
Japanese	7164	511
Polish	6100	1027
Romanian	8664	752
Slovak	8483	1060
Slovenian	7532	1817
Swedish	7041	1416
Afrikaans	1315	194
Chinese	3997	500
Danish	4383	564
Greek	1662	403
Hungarian	910	441
North_Sami	2257	865
Persian	4798	599
Serbian	2935	465
Turkish	3685	975
Ukrainian	4506	577
Vietnamese	1400	800
Amharic-Adap	974	100
Armenian-Adap	514	50
Breton-Adap	788	100
Buryat-Adap	808	100
Cantonese-Adap	550	100
Faroese-Adap	1108	100
Kazakh-Adap	947	100
Kurmanji-Adap	634	100
Naija-Adap	848	100
Thai-Adap	900	100
Uyghur-Adap	1656	900
Bambara-Adap	926	100
Erzya-Adap	1450	100
Maltese	1123	433
Latvian	4124	989
Indonesian	4477	559
Urdu	4043	552
Portuguese	17995	1770
English	17062	3070
Italian	17427	1070
Russian	52664	7163
Korean	27410	3016
