実施 する 	 じっし する
にっこりし 	 にっこりし
買っ て 	 かっ て
て 	 て
宣伝 	 せんでん
率いる 	 ひきいる
跋扈 し た 	 ばっこ し た
し て 	 し て
持っ た 	 もっ た
あぶれ た 	 あぶれ た
生かし て 	 いかし て
披露 し 	 ひろう し
巡業 し た 	 じゅんぎょう し た
発展 し て 	 はってん し て
建設 さ れ て 	 けんせつ さ れ て
復旧 し た 	 ふっきゅう し た
なじま せ 	 なじま せ
焦げ付か せ ない ように する 	 こげつか せ ない ように する
介し て 	 かいし て
使用 でき た 	 しよう でき た
なっ た 	 なっ た
作成 する 	 さくせい する
受傷 	 じゅしょう
集中 する 	 しゅうちゅう する
貢献 し た 	 こうけん し た
あっ て 	 あっ て
潰さ れる 	 つぶさ れる
突出 	 とっしゅつ
備わっ て 	 そなわっ て
活かし 	 いかし
解決 し た 	 かいけつ し た
開発 さ れ 	 かいはつ さ れ
命名 さ れ た 	 めいめい さ れ た
あり 	 あり
登場 	 とうじょう
上がっ た 	 あがっ た
入っ た 	 はいっ た
伝え られ て 	 つたえ られ て
監禁 さ れ た 	 かんきん さ れ た
搭載 し 	 とうさい し
取り込ん だ 	 とりこん だ
検知 し て 	 けんち し て
調整 する 	 ちょうせい する
節電 する 	 せつでん する
結ぶ 	 むすぶ
通る 	 とおる
し た 	 し た
思っ て 	 おもっ て
含め て 	 ふくめ て
食べ られる 	 たべ られる
移籍 する 	 いせき する
広がっ た 	 ひろがっ た
つくり出し て 	 つくりだし て
受け て 	 うけ て
示し て 	 しめし て
ある 	 ある
通じ て 	 つうじ て
殺害 	 さつがい
殺害 する 	 さつがい する
納得 し た 	 なっとく し た
行わ れる 	 おこなわ れる
安心 し て 	 あんしん し て
受け られ まし た 	 うけ られ まし た
感動 し まし た 	 かんどう し まし た
繋がる 	 つながる
配布 し て 	 はいふ し て
実施 	 じっし
在り 	 ざいり
含め 	 ふくめ
めぐる 	 めぐる
展開 さ れ そうだ 	 てんかい さ れ そうだ
できる 	 できる
前倒し し て 	 まえだおし し て
実施 し て 	 じっし し て
持ち込ん だ 	 もちこん だ
確認 せ ず 	 かくにん せ ず
進入 し た 	 しんにゅう し た
対応 し ます 	 たいおう し ます
入れる 	 いれる
思い ます 	 おもい ます
ばらまい て 	 ばらまい て
言い放っ た 	 いいはなっ た
死亡 し た 	 しぼう し た
目指し たい 	 めざし たい
拒否 	 きょひ
下っ て 	 くだっ て
たどり 	 たどり
着い た 	 つい た
断念 し 	 だんねん し
高め た 	 たかめ た
登場 し て 	 とうじょう し て
入手 し 易く なっ た 	 にゅうしゅ し やすく なっ た
改心 し た 	 かいしん し た
庇っ て 	 かばっ て
負傷 し 	 ふしょう し
撃た れる 	 うた れる
投降 	 とうこう
出会っ た 	 であっ た
憧れ て 	 あこがれ て
なり 	 なり
続い て 	 つづい て
該当 する 	 がいとう する
叫び 	 さけび
復唱 し 	 ふくしょう し
めくり 	 めくり
見せる 	 みせる
続き 	 つづき
生産 さ れ て 	 せいさん さ れ て
成功 さ せ た 	 せいこう さ せ た
喫し 	 きっし
インターセプト し た 	 いんたーせぷと し た
決め られ 	 きめ られ
敗れ た 	 やぶれ た
含まれる 	 ふくまれる
分け られる 	 わけ られる
連携 し て 	 れんけい し て
使っ た 	 つかっ た
支援 し 	 しえん し
目指す 	 めざす
削除 さ れる 	 さくじょ さ れる
呼び 	 よび
進ん 	 すすん
見 て 	 み て
あ れ 	 あ れ
違う 	 ちがう
生き て 	 いき て
なし 	 なし
連絡 し て 	 れんらく し て
率い た 	 ひきい た
終わっ た 	 おわっ た
い て 	 い て
教え て 	 おしえ て
決まる 	 きまる
聞い て 	 きい て
感激 し まし た 	 かんげき し まし た
招い た 	 まねい た
聞か れ た 	 きか れ た
答え て 	 こたえ て
見える 	 みえる
行なっ て 	 おこなっ て
呟く ように 	 つぶやく ように
使う 	 つかう
見 たい 	 み たい
語り 	 かたり
使用 する 	 しよう する
示す 	 しめす
健在 	 けんざい
つくる 	 つくる
のっ て 	 のっ て
開催 さ れ た 	 かいさい さ れ た
喧伝 し て 	 けんでん し て
失業 し て 	 しつぎょう し て
困窮 し て 	 こんきゅう し て
軽減 し 	 けいげん し
免除 する 	 めんじょ する
安心 する 	 あんしん する
持たせ た 	 もたせ た
参戦 する 	 さんせん する
任官 する 	 にんかん する
使っ て 	 つかっ て
家出 し た 	 いえで し た
捜し て 	 さがし て
わから ない 	 わから ない
授業 	 じゅぎょう
導入 し て 	 どうにゅう し て
収録 さ れ て 	 しゅうろく さ れ て
もたらす 	 もたらす
考える 	 かんがえる
行っ て 	 いっ て
参加 し て 	 さんか し て
生活 し て 	 せいかつ し て
リラックス 出来 ます 	 りらっくす でき ます
食べ すぎ ちゃい ます 	 たべ すぎ ちゃい ます
相次ぐ ように なる 	 あいつぐ ように なる
収納 し 	 しゅうのう し
持っ て 	 もっ て
のぞく 	 のぞく
失脚 さ せ た 	 しっきゃく さ せ た
反発 し た 	 はんぱつ し た
残り 	 のこり
保管 さ れ て 	 ほかん さ れ て
