999 11.955320334835738 Namespace(alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=5148385, language='Japanese-GSD_2.4', model=None) [5.043374497192032, 3.3354715922154976, 3.3354715922154976, 3.3354715922154976]
あう 0
うる 2
そうだ 4
なら 6
だめ 8
づらい 10
出す 12
める 14
ざるをえる 16
げる 18
回る 20
難い 22
かねる 24
かける 26
いける 28
わす 30
みたいだ 32
ざるを得る 34
切る 36
くださる 38
づめる 40
まい 42
てる 44
出来る 46
かも知れる 48
がたい 50
過ぎる 52
なさる 54
尽くす 56
らるる 58
できる 60
ね 62
かす 64
する 66
やすい 68
かもしれる 70
ある 72
らしい 74
続ける 76
良い 78
べる 80
だす 82
なければ 84
こむ 86
CAUSATIVE 88
はじめる 90
済み 92
きる 94
PASSIVE_POTENTIAL 96
う 98
たら 100
直す 102
ます 104
でした 106
すぎる 108
がちだ 110
ようだ 112
ちゃう 114
だ 116
ない 118
たー 120
にくい 122
よう 124
べし 126
易い 128
らす 130
たい 132
なる 134
つづける 136
て 138
合う 140
た 142
始める 144
込む 146
